0.28818,0.09498,0.03125,0.01485,0.05020,0.00368,0.00381,0.00366,0.00287,0.00647,0.00298,0.00246,0.00441,0.01200,0.02199,0.00707,0.00147,0.00056,0.01785,0.01696,0.01293,0.01504,0.00221,0.00927,0.01435,0.00476,0.01042,0.08739,0.13055,0.01140,0.00470,0.00774,0.01353,0.00180,0.00951,0.00565,0.00600,0.00614,0.00474,0.00048,0.00155,0.00478,0.00248,0.00203,0.00085,0.00155,0.00896,0.00298,0.00410,0.00093,0.01181,0.00048,0.00147,0.00978
0.09418,0.17800,0.04297,0.03132,0.06197,0.00600,0.00667,0.00677,0.00559,0.01035,0.00485,0.00334,0.00902,0.02198,0.01370,0.00999,0.00207,0.00056,0.01120,0.01033,0.01197,0.01352,0.00196,0.00651,0.01124,0.01161,0.01038,0.10760,0.15688,0.01601,0.00451,0.00535,0.01965,0.00339,0.01585,0.00675,0.00835,0.00660,0.00490,0.00024,0.00108,0.00324,0.00168,0.00132,0.00073,0.00084,0.00768,0.00324,0.00442,0.00160,0.01033,0.00056,0.00155,0.00761
0.08478,0.13489,0.07013,0.02697,0.07132,0.00844,0.01009,0.00980,0.00538,0.02026,0.00811,0.00423,0.01382,0.02080,0.01259,0.01752,0.00213,0.00078,0.00889,0.02045,0.01595,0.02614,0.00289,0.00567,0.00930,0.00765,0.01015,0.09140,0.13939,0.01069,0.00406,0.00466,0.01576,0.00229,0.01382,0.00689,0.01195,0.00945,0.00646,0.00027,0.00105,0.00363,0.00182,0.00111,0.00064,0.00111,0.00947,0.00309,0.00524,0.00151,0.01322,0.00047,0.00113,0.01027
0.04028,0.12294,0.03779,0.13372,0.11141,0.01497,0.01965,0.01870,0.01655,0.02270,0.00770,0.00729,0.03522,0.04729,0.01136,0.01734,0.00291,0.00160,0.00901,0.01269,0.00984,0.01788,0.00463,0.00707,0.00722,0.01059,0.00688,0.04518,0.06463,0.00935,0.00303,0.00436,0.00988,0.00424,0.02243,0.00896,0.00877,0.00809,0.00395,0.00053,0.00082,0.00373,0.00237,0.00223,0.00131,0.00128,0.00555,0.00342,0.00523,0.00257,0.01376,0.00078,0.00259,0.00574
0.04552,0.10422,0.02776,0.04010,0.17697,0.01674,0.01654,0.02119,0.01217,0.02632,0.00802,0.00799,0.03216,0.02335,0.01000,0.01704,0.00188,0.00090,0.00681,0.01014,0.00875,0.01686,0.00256,0.00441,0.00708,0.01045,0.00775,0.07257,0.09946,0.00740,0.00354,0.00429,0.01037,0.00350,0.02255,0.01492,0.01441,0.01279,0.00607,0.00056,0.00172,0.00440,0.00308,0.00265,0.00143,0.00143,0.00910,0.00418,0.00579,0.00265,0.01637,0.00067,0.00290,0.00751
0.02044,0.07658,0.01699,0.03729,0.09580,0.07667,0.04245,0.03431,0.02593,0.05243,0.02010,0.01448,0.06575,0.01706,0.00625,0.03271,0.00298,0.00149,0.00509,0.00985,0.00707,0.01952,0.00318,0.00416,0.00600,0.00689,0.00558,0.03324,0.04814,0.00387,0.00202,0.00262,0.00683,0.00491,0.02226,0.01492,0.02104,0.02404,0.01030,0.00145,0.00245,0.00480,0.00494,0.00460,0.00256,0.00247,0.01543,0.00685,0.01012,0.00387,0.02164,0.00091,0.00571,0.01096
0.01205,0.05603,0.01011,0.02800,0.06512,0.02708,0.08362,0.05743,0.04609,0.04294,0.01605,0.02524,0.07879,0.01125,0.00550,0.02344,0.00315,0.00133,0.00461,0.00778,0.00449,0.01363,0.00240,0.00322,0.00492,0.00628,0.00485,0.02664,0.04005,0.00461,0.00223,0.00296,0.00592,0.00526,0.02660,0.02117,0.02657,0.03375,0.01610,0.00121,0.00284,0.00642,0.00465,0.00529,0.00225,0.00301,0.02914,0.00829,0.01304,0.00626,0.03406,0.00153,0.00681,0.01794
0.00785,0.02304,0.00564,0.01108,0.03168,0.00785,0.02461,0.14199,0.06387,0.03162,0.01039,0.04920,0.03680,0.00357,0.00271,0.01290,0.00182,0.00102,0.00257,0.00468,0.00223,0.00804,0.00146,0.00261,0.00301,0.00321,0.00359,0.02246,0.03580,0.00271,0.00140,0.00179,0.00309,0.00361,0.01689,0.01315,0.02640,0.04062,0.03051,0.00250,0.00284,0.01211,0.00733,0.00628,0.00296,0.00424,0.05594,0.02365,0.03458,0.01375,0.08146,0.00211,0.01530,0.03749
0.00611,0.01930,0.00408,0.00818,0.02694,0.00650,0.02426,0.11366,0.10838,0.03889,0.01267,0.06197,0.03344,0.00277,0.00238,0.01559,0.00187,0.00083,0.00209,0.00504,0.00162,0.00770,0.00166,0.00249,0.00290,0.00257,0.00283,0.02242,0.03911,0.00222,0.00074,0.00140,0.00288,0.00262,0.01213,0.00977,0.02022,0.03211,0.02552,0.00233,0.00327,0.01542,0.00825,0.00735,0.00329,0.00561,0.04491,0.02432,0.04199,0.01435,0.08675,0.00264,0.01479,0.03688
0.00813,0.03061,0.00627,0.01196,0.03345,0.01020,0.01274,0.03872,0.01857,0.21801,0.05996,0.02216,0.01917,0.00489,0.00282,0.06322,0.00619,0.00363,0.00276,0.01416,0.00938,0.03007,0.00397,0.00256,0.00375,0.00210,0.00325,0.02448,0.04371,0.00232,0.00124,0.00188,0.00302,0.00180,0.00929,0.00629,0.01745,0.01843,0.01062,0.00192,0.00321,0.01158,0.00465,0.00403,0.00234,0.00435,0.02386,0.01713,0.02933,0.00919,0.07009,0.00190,0.00891,0.02428
0.00800,0.02798,0.00550,0.01135,0.02911,0.00790,0.01223,0.03396,0.01684,0.13931,0.25135,0.01918,0.01875,0.00428,0.00274,0.05047,0.00759,0.00619,0.00230,0.01216,0.00619,0.02290,0.00382,0.00226,0.00345,0.00211,0.00288,0.02077,0.03457,0.00199,0.00063,0.00115,0.00309,0.00234,0.00750,0.00633,0.01281,0.01605,0.00815,0.00190,0.00263,0.00803,0.00483,0.00447,0.00240,0.00382,0.01971,0.01162,0.02263,0.00867,0.05536,0.00217,0.00880,0.01676
0.00591,0.01533,0.00281,0.00508,0.02031,0.00303,0.01260,0.11995,0.05295,0.03391,0.01295,0.09718,0.01819,0.00254,0.00167,0.01476,0.00157,0.00094,0.00234,0.00425,0.00173,0.00752,0.00132,0.00232,0.00276,0.00203,0.00266,0.02214,0.04078,0.00201,0.00083,0.00138,0.00256,0.00256,0.00951,0.00827,0.01797,0.02476,0.02061,0.00236,0.00303,0.01630,0.00862,0.00655,0.00311,0.00526,0.03984,0.03437,0.05746,0.02246,0.13176,0.00335,0.02297,0.04057
