gid,state,puma,name,L_km2,H_units,households,rent_data_yr,mu_pct,mc_yr,lat,lon
3400301,34,00301,Bergen County (South Central)--Hackensack & Teaneck,32.87,42123,39681,16191,0.81,10730,40.8832,-74.0247
3400302,34,00302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights",67.78,48486,45758,15464,10.5,11838,40.8235,-74.0858
3400303,34,00303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park",27.44,56575,52734,18372,12.3,13657,40.8381,-73.99
3400304,34,00304,"Bergen County (West Central)--Fair Lawn, Garfield & Lodi",38.47,46271,43975,15693,8.02,11520,40.9087,-74.108
3400305,34,00305,"Bergen County (East)--Tenafly, Park Ridge, Englewood City & Cresskill",124.81,45476,43265,20852,10.68,17039,40.9686,-73.9697
3400306,34,00306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes",160.88,38742,37377,20561,11.78,14873,41.0483,-74.186
3400307,34,00307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford",56.18,40382,38829,16267,14.29,10914,40.935,-74.0473
3400308,34,00308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood",94.5,36797,35524,22322,13.87,14941,41.0041,-74.079
3400501,34,00501,Passaic County (South)--Passaic & Clifton (SE),29.47,47848,43276,14465,-2.95,9966,40.8616,-74.1485
3400502,34,00502,Passaic County (Central)--Hawthorne,74.54,39544,37624,16747,7.46,10562,40.9138,-74.204
3400503,34,00503,Passaic County--Paterson,21.79,49530,43770,13230,-15.58,9627,40.9148,-74.1628
3400504,34,00504,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes",356.08,39832,36950,18147,7.92,9988,41.0744,-74.3508
3400601,34,00601,Hudson County (Central)--Jersey City (North),16.47,63774,57111,18745,-4.4,14183,40.7349,-74.0516
3400602,34,00602,Hudson County (Central)--Jersey City (South),21.73,47605,42545,13268,-15.4,9758,40.6992,-74.0715
3400603,34,00603,Hudson County (Northeast)--Union City & Hoboken,8.6,60044,54627,18419,-2.98,20060,40.7592,-74.0222
3400604,34,00604,"Hudson County (North)--West New York, Secaucus & North Bergen",31.46,56001,52164,15916,1.95,12392,40.7884,-74.0427
3400605,34,00605,"Hudson County (South & West)--Bayonne, Kearney & Harrison",41.39,48661,45244,14391,3.16,9751,40.7506,-74.1379
3400800,34,00800,Hunterdon County,1108.09,49875,46935,16002,5.69,12265,40.5653,-74.912
3400901,34,00901,Middlesex County (Southeast),217.93,51001,48670,14990,8.24,14979,40.3663,-74.3736
3400902,34,00902,Middlesex County (Southwest),215.05,43685,41030,18392,9.68,14633,40.3744,-74.5191
3400903,34,00903,Middlesex County (Northwest)--North Piscataway & South Plainfield,88.51,38654,37119,17950,7.79,10367,40.5677,-74.4405
3400904,34,00904,Middlesex County (North Central)--Metuchen & South Edison,82.18,40473,38850,16663,7.99,10189,40.5258,-74.3649
3400905,34,00905,Middlesex County (Northeast)--Carteret & North Woodbridge,59.82,38978,37166,16765,4.74,9876,40.5735,-74.275
3400906,34,00906,Middlesex County (Central)--New Brunswick & Highland Park,80.41,48645,45133,16184,1.74,10346,40.4656,-74.4229
3400907,34,00907,Middlesex County (East Central)--Perth Amboy & Sayreville,57.06,37434,35341,14540,-2.58,9127,40.4809,-74.3075
3401001,34,01001,Somerset County (North & West),406.78,40857,39342,20978,9.56,15615,40.677,-74.5362
3401002,34,01002,Somerset County (South),258.77,40678,37799,18632,2.23,11294,40.4661,-74.607
3401003,34,01003,"Somerset County (Central)--Bridgewater, Somerville & North Plainfield",116.28,43697,39315,15913,2.09,10499,40.5615,-74.6155
3401101,34,01101,"Monmouth County (Southeast)--Wall, Tinton Falls (South)",150.37,51950,42346,16621,-0.13,12954,40.2819,-74.0786
3401102,34,01102,"Monmouth County (Southwest)--Freehold, Manalapan",407.73,40211,38216,18159,4.49,13811,40.2105,-74.4166
3401103,34,01103,"Monmouth County (Southeast)--Long Branch, Asbury Park & Eatontown",96.85,50252,42951,14300,-4.65,12669,40.2784,-74.0362
3401104,34,01104,"Monmouth County (Northeast)--Red Bank, Northeast Middletown",114.37,44907,40044,15774,1.7,12113,40.4079,-74.0609
3401105,34,01105,Monmouth County (Northwest)--Matawan & Aberdeen,127.67,37155,35160,15453,5.53,9976,40.3883,-74.1674
3401106,34,01106,Monmouth County (Central),315.59,35723,34130,19702,8.9,10829,40.2507,-74.2081
3401201,34,01201,Ocean County (South),672.83,72039,47148,16691,-1.65,8695,39.7349,-74.2235
3401202,34,01202,Ocean County (Central)--Toms River & Berkeley,234.29,81337,62970,16232,0.23,8228,39.94,-74.1681
3401203,34,01203,Ocean County (Lakewood),63.92,26392,23853,16076,-10.7,12012,40.0771,-74.1985
