49753.00,62642.50,111556.60
45869.71,57753.17,102849.47
43435.17,54687.91,97390.71
44444.98,55959.33,99654.92
50439.22,63506.49,113095.25
50207.14,63214.29,112574.87
45922.30,57819.38,102967.38
48839.06,61491.79,109507.37
39332.89,46641.63,87437.22
43230.97,51264.04,96102.68
43540.28,51630.83,96790.29
44550.84,52829.18,99036.77
52307.62,60730.25,130690.06
40236.37,46715.27,100530.17
43801.95,50854.98,109438.71
42546.89,49397.83,106302.98
41731.75,48451.44,104266.35
69067.52,67446.17,131072.26
41299.96,51069.12,97442.60
48378.97,59822.60,114144.71
47876.85,59201.71,112960.01
41418.72,51215.97,97722.79
43538.74,53837.46,102724.74
45132.70,55808.46,106485.51
39728.96,49126.51,93735.99
71051.51,66801.17,137972.11
62118.32,58402.37,120625.10
60155.41,56556.88,116813.39
54162.25,61893.87,120265.55
48840.10,55811.99,108447.90
53349.68,60965.30,118461.26
49136.75,56150.98,109106.59
55332.81,63231.52,122864.74
48815.84,55784.26,108394.02
46978.51,51570.66,81707.99
50225.73,55135.29,87355.75
51911.03,56985.34,90286.93
50336.18,55256.54,87547.86
48454.80,53191.25,84275.63
40526.37,51325.24,103217.10
40501.96,51294.32,103154.91
45086.80,57100.86,114832.10
47234.67,59821.06,120302.53
42660.48,54028.01,108652.47
50495.01,63950.16,128606.32
45779.73,57978.43,116596.93
41584.40,55250.74,108082.48
42219.89,56095.08,109734.19
51858.21,68900.95,134785.28
53032.35,70460.96,137836.98
51543.42,59584.28,113049.92
40715.81,56354.16,107289.21
47622.85,65914.10,125489.78
37801.05,52319.89,99608.60
43225.85,59828.27,113903.35
44149.82,61107.13,116338.09
44220.42,50277.43,98923.06
40984.43,66715.85,116306.34
37802.35,61535.97,107276.20
35350.92,57545.44,100319.48
46317.99,57570.64,134470.64
45637.89,56725.32,132496.18
49320.83,61303.00,143188.50
45498.67,56552.27,132091.97
40521.29,50365.68,117641.64
42321.06,52602.69,122866.74
41339.71,51382.92,120017.66
52796.55,62067.21,137082.68
51485.06,60525.43,133677.48
46785.82,55001.04,121476.23
46757.05,54967.22,121401.52
46499.49,54664.44,120732.80
45060.85,52973.18,116997.46
41416.78,48689.24,107535.88
36519.30,42931.80,94819.90
35669.46,41932.74,92613.36
41523.81,48815.06,107813.77
40379.33,47469.63,104842.22
38988.94,45835.09,101232.15
51436.06,60834.31,112739.61
55992.40,66223.16,122726.37
53467.04,63236.37,117191.17
47588.09,56283.24,104305.47
51740.13,61193.93,113406.07
51466.81,60870.67,112806.99
50598.75,59844.00,110904.35
38983.22,46106.11,85444.96
52451.25,62034.98,114964.73
53219.98,62944.18,116649.67
48265.28,57084.17,105789.76
47158.40,55775.04,103363.66
50777.32,60055.20,111295.75
34947.41,47293.25,116906.95
47193.14,63865.02,157871.66
39795.47,53853.98,133124.80
45174.06,61132.67,151117.40
43092.75,58316.10,144154.96
41141.67,55675.75,137628.13
48327.39,65399.97,161666.00
38146.00,51621.81,127606.95
47418.62,64170.16,158625.96
47508.53,64291.83,158926.73
41734.13,47508.47,89452.30
41472.10,47210.20,88890.69
48782.54,55532.11,104559.78
38890.52,44271.43,83357.36
37487.95,42674.80,80351.12
36785.91,41875.62,78846.38
40748.62,46386.61,87339.98
42003.10,47814.67,90028.83
42836.01,48762.82,91814.07
42598.41,48492.35,91304.80
39643.31,54241.18,97047.88
56954.09,77926.31,139425.11
47914.52,65558.11,117296.03
32841.40,44934.61,80396.63
43438.57,59433.97,106338.77
46229.19,63252.18,113170.29
40168.61,54959.91,98333.81
46140.57,63130.92,112953.33
48342.14,66143.19,118342.85
35812.67,48999.98,87670.35
31333.62,42871.61,76705.54
30881.59,42253.13,75598.96
35754.16,48919.92,87527.12
31349.32,42893.10,76743.98
30885.25,42258.14,75607.91
43451.36,59451.47,106370.08
47664.90,65216.57,116684.94
36891.99,50476.74,90312.56
48557.66,58768.74,97958.94
51349.36,62147.49,103590.83
43193.52,52276.59,87137.47
43972.45,53219.31,88708.86
46568.51,56361.29,93946.08
37710.66,45640.75,76076.50
37793.54,45741.05,76243.68
44765.52,54179.15,90308.77
47052.81,56947.44,94923.10
40341.93,48825.34,81384.74
40805.76,49386.71,82320.46
47814.81,57869.67,96460.33
53776.85,65085.46,108488.00
48402.55,58581.00,97646.01
46041.66,59243.93,111512.01
42104.33,54177.59,101975.87
41308.95,53154.13,100049.47
