0.09402,0.02494,0.12734,0.09002,0.01927,0.00231,0.00488,0.00389,0.01039,0.01001,0.02431,0.03912,0.01074,0.05569,0.17855,0.02863,0.06793,0.03533,0.00583,0.00306,0.00384,0.00076,0.00292,0.00097,0.00221,0.00277,0.00539,0.00830,0.02805,0.04549,0.02117,0.04189
0.02695,0.11534,0.24333,0.12440,0.05204,0.00625,0.00788,0.00639,0.01560,0.01319,0.02900,0.02969,0.00630,0.03357,0.13079,0.01041,0.02256,0.00924,0.00767,0.00482,0.00781,0.00223,0.00496,0.00280,0.00402,0.00418,0.00460,0.00976,0.01880,0.01301,0.01039,0.02201
0.02214,0.02349,0.34773,0.14689,0.02907,0.00247,0.00356,0.00291,0.00934,0.01367,0.02387,0.02805,0.00655,0.03495,0.17449,0.01269,0.02510,0.01114,0.00318,0.00234,0.00389,0.00069,0.00218,0.00084,0.00151,0.00220,0.00282,0.00434,0.01701,0.01315,0.01085,0.01688
0.01328,0.01766,0.22067,0.22531,0.03797,0.00346,0.00586,0.00448,0.01768,0.01966,0.03979,0.03190,0.01072,0.04217,0.20189,0.01089,0.02795,0.00752,0.00519,0.00286,0.00495,0.00043,0.00262,0.00097,0.00198,0.00298,0.00237,0.00233,0.00968,0.00664,0.00715,0.01098
0.01144,0.02283,0.19855,0.15080,0.11314,0.00744,0.00807,0.00505,0.02100,0.02216,0.04230,0.03821,0.01001,0.04525,0.19645,0.01223,0.02689,0.00882,0.00522,0.00225,0.00544,0.00077,0.00301,0.00078,0.00193,0.00280,0.00261,0.00246,0.01074,0.00554,0.00538,0.01044
0.00877,0.01853,0.05229,0.07427,0.05632,0.11510,0.05458,0.02179,0.09306,0.05595,0.08599,0.04660,0.00943,0.02977,0.08361,0.00847,0.01457,0.00688,0.02597,0.00942,0.03106,0.01048,0.01760,0.00663,0.00671,0.00477,0.00424,0.00453,0.00749,0.00793,0.00634,0.02083
0.00612,0.01010,0.02793,0.04272,0.02268,0.02647,0.13962,0.05662,0.10309,0.04480,0.12026,0.04847,0.01242,0.02519,0.07290,0.00648,0.01211,0.00660,0.04343,0.01782,0.05436,0.00650,0.02689,0.00964,0.01107,0.00601,0.00405,0.00217,0.00567,0.00622,0.00502,0.01658
0.00647,0.00642,0.02360,0.04026,0.01651,0.01132,0.05185,0.13630,0.07605,0.03374,0.14857,0.06265,0.01662,0.03673,0.09395,0.00972,0.01788,0.00899,0.04955,0.01955,0.03881,0.00317,0.01812,0.00822,0.01612,0.00833,0.00341,0.00266,0.00647,0.00838,0.00479,0.01480
0.00706,0.00897,0.03456,0.05841,0.02780,0.02174,0.05497,0.03306,0.15646,0.06396,0.15240,0.06025,0.01785,0.04402,0.09261,0.00859,0.01690,0.00777,0.02148,0.01111,0.02811,0.00233,0.01230,0.00507,0.00639,0.00434,0.00392,0.00276,0.00623,0.00691,0.00545,0.01624
0.00827,0.01177,0.07490,0.11642,0.04736,0.01332,0.02556,0.01308,0.06274,0.09010,0.12822,0.06198,0.02397,0.06031,0.13449,0.01066,0.02173,0.00851,0.01163,0.00651,0.01072,0.00118,0.00626,0.00261,0.00336,0.00357,0.00339,0.00234,0.00685,0.00664,0.00533,0.01622
