0.24172,0.06684,0.06110,0.08846,0.03196,0.01081,0.10561,0.03589,0.00797,0.00899,0.02676,0.01160,0.04322,0.01099,0.03966,0.01081,0.01703,0.00295,0.00854,0.01079,0.05764,0.01227,0.00915,0.00332,0.00406,0.01138,0.00466,0.00557,0.00507,0.00815,0.00657,0.00225,0.00252,0.00391,0.00257,0.00102,0.00734,0.01083
0.12374,0.22807,0.10662,0.03407,0.01437,0.00491,0.09402,0.05113,0.00638,0.00769,0.01307,0.00664,0.02474,0.02632,0.06584,0.01552,0.02139,0.00502,0.00980,0.01063,0.03824,0.00912,0.00687,0.00218,0.00585,0.00705,0.00444,0.00365,0.00497,0.00828,0.00547,0.00365,0.00239,0.00297,0.00224,0.00122,0.00508,0.01635
0.06238,0.07745,0.17432,0.02748,0.01867,0.00890,0.14936,0.07922,0.01208,0.00993,0.02475,0.01717,0.04157,0.02260,0.05537,0.01564,0.03125,0.00307,0.00814,0.01042,0.05457,0.01153,0.00871,0.00261,0.00404,0.01088,0.00393,0.00490,0.00495,0.00680,0.00465,0.00221,0.00234,0.00311,0.00208,0.00152,0.00751,0.01391
0.04239,0.01340,0.02372,0.25180,0.07746,0.03217,0.09268,0.02530,0.00712,0.00762,0.05783,0.02022,0.08399,0.00343,0.01996,0.00321,0.00919,0.00163,0.00607,0.01929,0.09145,0.01615,0.01300,0.00464,0.00185,0.02407,0.00903,0.00544,0.00443,0.00873,0.00774,0.00196,0.00220,0.00433,0.00264,0.00048,0.00111,0.00226
0.01293,0.00522,0.00971,0.07160,0.26613,0.10701,0.04158,0.02156,0.00492,0.00812,0.03040,0.01729,0.08794,0.00418,0.00938,0.00385,0.01012,0.00162,0.00470,0.02215,0.08133,0.01711,0.01707,0.00778,0.00259,0.05037,0.01320,0.00659,0.00929,0.01626,0.01968,0.00340,0.00340,0.00483,0.00382,0.00036,0.00070,0.00182
0.00897,0.00385,0.00847,0.03587,0.13294,0.19963,0.04704,0.01411,0.00495,0.00617,0.03585,0.01748,0.09506,0.00294,0.00820,0.00335,0.00847,0.00141,0.00502,0.02399,0.10065,0.02021,0.01684,0.00832,0.00277,0.08513,0.01767,0.00827,0.00737,0.02071,0.02941,0.00328,0.00344,0.00586,0.00411,0.00041,0.00045,0.00134
0.01659,0.01110,0.02906,0.02468,0.01665,0.01038,0.22515,0.07318,0.01931,0.01685,0.08145,0.02934,0.07006,0.00526,0.02172,0.00740,0.02322,0.00487,0.01427,0.02865,0.13887,0.02538,0.02277,0.00582,0.00679,0.01557,0.00883,0.00859,0.00642,0.00983,0.00577,0.00227,0.00232,0.00441,0.00228,0.00044,0.00127,0.00318
0.01194,0.00884,0.02265,0.01137,0.00965,0.00611,0.11821,0.19851,0.03408,0.02761,0.05542,0.02096,0.04317,0.00629,0.02411,0.01009,0.05286,0.01321,0.01958,0.02351,0.15403,0.02859,0.01929,0.00501,0.01407,0.01110,0.00761,0.00751,0.00605,0.00808,0.00464,0.00198,0.00252,0.00426,0.00203,0.00041,0.00121,0.00346
0.00565,0.00466,0.01220,0.00832,0.00902,0.00671,0.06042,0.05905,0.10600,0.05076,0.09025,0.02543,0.04282,0.00356,0.01150,0.00399,0.03590,0.01021,0.01405,0.03734,0.22187,0.04009,0.03340,0.00930,0.02313,0.01324,0.01441,0.01252,0.00720,0.00784,0.00486,0.00254,0.00264,0.00425,0.00177,0.00026,0.00061,0.00224
0.00433,0.00350,0.00714,0.00869,0.00962,0.00622,0.04641,0.03800,0.03727,0.10497,0.15032,0.02600,0.04949,0.00344,0.00870,0.00382,0.02331,0.00752,0.00965,0.04260,0.22195,0.04213,0.03899,0.01046,0.02483,0.01281,0.01528,0.00986,0.00870,0.00778,0.00414,0.00240,0.00217,0.00381,0.00156,0.00032,0.00049,0.00130
0.00305,0.00216,0.00459,0.00948,0.00784,0.00654,0.04370,0.01652,0.01418,0.02798,0.31161,0.02664,0.04656,0.00103,0.00704,0.00237,0.00675,0.00286,0.00508,0.05345,0.22216,0.03812,0.05857,0.01140,0.00798,0.01344,0.01566,0.00920,0.00549,0.00582,0.00307,0.00136,0.00117,0.00274,0.00210,0.00041,0.00043,0.00144
0.00747,0.00378,0.01306,0.01909,0.02108,0.01219,0.07626,0.02621,0.01769,0.02123,0.15781,0.11816,0.09693,0.00192,0.00942,0.00247,0.01057,0.00179,0.00620,0.05062,0.15886,0.03205,0.03828,0.01136,0.00579,0.02154,0.01833,0.00797,0.00603,0.00966,0.00476,0.00179,0.00212,0.00339,0.00183,0.00030,0.00077,0.00125
0.00563,0.00349,0.00905,0.01714,0.02551,0.01856,0.06208,0.02144,0.01035,0.01199,0.07789,0.04410,0.24306,0.00172,0.00750,0.00182,0.00843,0.00217,0.00502,0.05860,0.15537,0.03071,0.04171,0.01393,0.00478,0.04117,0.02471,0.01090,0.00828,0.01520,0.00615,0.00227,0.00156,0.00350,0.00200,0.00033,0.00058,0.00129
0.02510,0.02809,0.04162,0.01016,0.00959,0.00394,0.05364,0.05122,0.00756,0.00815,0.01679,0.00441,0.01632,0.19242,0.15057,0.08802,0.04904,0.00794,0.02318,0.00851,0.05617,0.01159,0.00822,0.00301,0.00570,0.00514,0.00340,0.00412,0.00453,0.00529,0.00503,0.00279,0.00224,0.00330,0.00193,0.00278,0.01175,0.06672
0.02957,0.02625,0.03599,0.01331,0.01005,0.00438,0.06171,0.06473,0.00856,0.00874,0.01705,0.00426,0.01734,0.09571,0.30502,0.05430,0.04176,0.00752,0.01244,0.00926,0.05007,0.01325,0.00737,0.00301,0.00671,0.00604,0.00324,0.00409,0.00581,0.00554,0.00523,0.00280,0.00282,0.00326,0.00208,0.00235,0.00910,0.03929
0.01296,0.01521,0.02322,0.00816,0.00897,0.00439,0.05310,0.05097,0.00708,0.00736,0.01813,0.00471,0.01603,0.04799,0.07359,0.27198,0.10040,0.01166,0.05404,0.00853,0.06588,0.01250,0.00752,0.00267,0.00559,0.00506,0.00392,0.00434,0.00465,0.00555,0.00476,0.00208,0.00243,0.00327,0.00243,0.00408,0.00566,0.05910
0.00649,0.00531,0.01480,0.00587,0.00815,0.00387,0.04957,0.06892,0.02328,0.02262,0.02375,0.00865,0.02014,0.01003,0.02049,0.03239,0.25853,0.03740,0.12480,0.01230,0.12147,0.02252,0.01271,0.00352,0.02331,0.00689,0.00567,0.00664,0.00703,0.00689,0.00463,0.00217,0.00242,0.00405,0.00264,0.00159,0.00161,0.00688
0.00652,0.00453,0.01318,0.00482,0.00828,0.00397,0.03643,0.06109,0.02272,0.02377,0.02714,0.00958,0.02307,0.00705,0.01392,0.01235,0.13838,0.18148,0.10483,0.01899,0.12632,0.02481,0.01750,0.00670,0.03238,0.00768,0.01111,0.00962,0.01169,0.00896,0.00488,0.00288,0.00254,0.00441,0.00257,0.00060,0.00054,0.00273
0.00508,0.00461,0.00995,0.00531,0.00748,0.00354,0.03567,0.03979,0.01055,0.01119,0.02493,0.00553,0.01628,0.00707,0.01451,0.01829,0.14410,0.04281,0.36100,0.01257,0.12065,0.02010,0.01217,0.00325,0.01191,0.00531,0.00485,0.00507,0.00538,0.00589,0.00526,0.00280,0.00231,0.00354,0.00251,0.00147,0.00116,0.00613
0.00271,0.00269,0.00371,0.00804,0.01670,0.01290,0.03131,0.01679,0.01037,0.01610,0.10147,0.02513,0.07458,0.00147,0.00473,0.00155,0.00866,0.00269,0.00477,0.12458,0.26005,0.04501,0.08242,0.01801,0.00668,0.02367,0.03815,0.01361,0.01081,0.01266,0.00546,0.00244,0.00215,0.00406,0.00224,0.00029,0.00053,0.00082
