44635.16,60458.29,129207.69
51458.13,69700.00,148958.51
44918.23,60841.71,130027.10
41853.31,56690.28,121154.93
46150.42,62510.70,133593.98
36781.97,49821.16,106474.67
41320.25,55968.24,119611.84
49213.87,66660.15,142461.91
39591.32,53626.41,114607.03
48036.68,65065.64,139054.24
48322.40,65452.65,139881.33
48939.48,66288.49,141667.63
45015.66,60973.68,130309.14
36975.68,50083.53,107035.39
45468.87,65122.53,143217.79
48582.44,69581.92,153024.91
38347.48,54922.97,120786.87
37958.73,54366.18,119562.38
40884.08,58555.99,128776.63
47293.09,67735.25,148963.71
42782.88,61275.54,134757.47
48750.81,69823.07,153555.24
48057.44,68830.00,151371.28
48675.99,67028.50,145138.55
47764.30,65773.07,142420.13
36091.24,57505.95,133189.44
40458.45,64464.43,149305.97
45809.16,72989.99,169052.00
48732.40,77647.73,179839.80
36026.59,57402.93,132950.84
36650.93,58397.73,135254.89
35094.80,55918.27,129512.21
39669.03,63206.61,146392.74
34612.16,48030.02,117704.68
48699.85,67579.00,165612.34
45461.82,63085.70,154600.84
48163.09,66834.16,163787.01
50446.16,70002.28,171550.96
54821.88,76074.31,186431.36
31305.24,48467.67,119070.11
37351.41,57828.53,142066.86
48861.07,75648.10,185844.06
39339.69,60906.83,149629.29
38058.96,58923.97,144758.01
34578.43,53535.31,131519.75
42761.74,66204.95,162645.15
51722.26,80077.89,196726.68
47760.98,73944.92,181659.86
48711.01,75415.79,185273.33
36550.50,56588.53,139020.55
49104.11,76024.39,186768.47
35574.57,55077.57,135308.61
40468.29,62654.17,153921.96
52090.61,80648.18,198127.70
