gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
1100101,1043.12657849321,89882.3684231269,25572,22202.838365641,3.28,61188.0116657862,36.64,10.1713521346779,10.6200814608487,10.7965499471514,10.7746558573396,10.8626911953876,11.0954670665033
1100102,1237.47505029162,76478.1176755982,19476,19946.0709467024,-11.92,55759.4100527296,28.51,10.1847005796017,10.5050716038197,10.7107398279853,10.850862006988,11.0155985168963,11.3032488534884
1100103,1858.00888562711,90054.8721725588,22188,23302.0486268926,-17.97,65793.246087046,23.18,10.3821963850884,10.5340354076925,10.6543635515304,10.7919126139136,10.9556637217869,11.2770033532355
1100104,1097.0265095728,66693.9111632236,14064,12670.3990528235,-21.89,81758.1368287019,33.03,10.2931171239354,10.5004669268335,10.7385164832487,11.0054673470242,11.3236947264467,11.7376904304668
1100105,5698.0723943543,87739.2424948083,25464,23894.9454593247,-12.36,70911.4745765945,8.52,10.453153441888,10.5869862417143,10.7616215387077,10.8241094566648,11.0636078926393,11.3712203778433
1100106,1630.59481851399,90529.0957849669,27552,22112.4983723703,-11.12,74952.1812788697,28.44,10.3220876773868,10.5238109494374,10.6210872603133,10.8128365934599,11.0012154724818,11.361181320036
2400301,202.802445093376,60889.8994164184,19944,20698.0708460227,-6.54,64480.30921364,245.12,9.74245321155488,10.031113823638,10.1646692861029,10.34517884479,10.5649605132798,10.8863501139731
2400302,34.9796032218154,55225.244589621,17628,22394.1362664576,3.07,57580.6561170884,1465.85,9.46390318306642,9.78087011940957,9.81923369967766,10.0062670967989,10.2330011101812,10.4965753351132
2401001,48.9696495164562,63177.4831039946,25404,20957.5508973858,6.98,45074.3760687132,700.61,9.82774294586756,10.0689978250485,10.0856047368109,10.2030690923188,10.3085858419425,10.5672747430635
2401002,575.943340147576,63908.183091007,22716,24784.6357153054,4.86,68742.3763700398,106.59,9.79739126375235,10.0105464159056,10.189323637478,10.4004636081405,10.6435397177603,10.9516385263275
2401003,693.896773756611,66869.5701780234,24504,23033.411213048,6.25,78303.0397934231,90.75,9.74976757050391,10.0872928095915,10.312464209263,10.5963563603555,10.814786061624,11.0114726090352
2401004,364.388629867641,90167.7404033235,26628,26401.61755183,11.34,58063.1984826934,118.07,10.0223454961551,10.3246034789885,10.4850653984842,10.5380856473767,10.6808625742769,10.7882242991686
2401005,745.171874529609,63559.4392997562,23256,20119.8511379002,4.79,62812.4928820343,61.34,9.91082159532674,10.1809846122348,10.4955799309044,10.6654385230722,10.888725092471,11.1243435348342
2401006,404.482017705579,61714.6351515913,22164,24213.0727000845,5.22,50295.6718596531,111.12,9.78630299237447,10.0749652407472,10.3288981294915,10.5053691274627,10.6729569668638,10.9870923652401
2401007,1299.82188118459,70964.9046899664,21096,22630.4441387456,-0.84,58400.5096508834,34.04,10.0005453038334,10.2856101399321,10.6077537497228,10.8048130059967,10.9089392856614,11.1407157936202
2401008,641.116163025577,93414.0066967382,28476,25148.7338468704,9.95,51062.8205234184,54.72,10.2697291746482,10.4211863727854,10.7229988282766,10.7446496334122,10.7731929520561,10.9582133208803
2401101,1098.85190672784,41984.3011983918,20544,20852.3065632249,-3.33,46711.7406976351,41.86,9.70727631451326,10.1386302916327,10.5978473249502,10.9232487618247,11.1756752274915,11.7217663856214
2401102,313.264451644818,54249.0252967732,21852,19833.7892953388,-1.96,65391.5178554864,166.57,9.75417586271999,9.98638923197126,10.2158114886563,10.5265702102659,10.715930395167,11.177164910909
2401103,669.617275022169,53913.0058867778,19212,16946.73043854,-9.06,49581.2280659175,50.69,10.084623987014,10.1788748738386,10.5404804097565,10.8983684466818,11.2182959747879,11.4471592952694
2401104,533.974458898124,51739.7738233157,19236,15375.2376560156,-18.15,57004.4162047639,68.1,10.0194178828316,10.239447230087,10.4040494542883,10.8560345368375,11.2201509096117,11.5305746399812
2401105,273.147389714668,55482.2518930899,25728,24318.3813491086,-5.24,85317.4723847061,301.12,9.61554703249893,9.78217071334074,9.9640186103414,10.0948591174532,10.3658725852578,10.8161554068737
2401106,85.7222229672689,50174.9700514223,26352,19723.9489599485,-9.41,55556.7891079488,540.9,9.62868811252188,9.85602062355409,10.0417930065845,10.1895874794077,10.4934547832107,10.897199849222
2401107,417.2919230036,52867.4447378316,19104,13483.3041632745,-15.42,61110.7111897427,80.79,10.1504928222648,10.219092059077,10.4869942737874,10.7923790518695,11.2117121623912,11.7609087932272
2401501,65.0299761211013,46695.8147164415,19140,18722.8743706609,-3.5,47314.9186546414,603.05,9.6725988257505,9.98983153711472,9.93786586577957,10.1095929262332,10.3466944019956,10.7277184194032
2401700,50.1510628629309,39049.4256140511,22068,16524.0676231141,-3.84,73039.5801064595,1185.76,9.46639936989161,9.68135802183723,9.77755899608038,9.86669663943416,10.31535523744,10.5405250189687
