s_pct,dW_bn,naive_price_bn,ratio_dW_naive,dr_med_pct,marg_wedge_top,marg_dWdH_top,marg_price_top,eta_top,marg_wedge_core,marg_dWdH_core,marg_price_core,eta_core,converged
0,0,0,1,0,2218,30728,28510,-0.428,1226,29990,28764,-0.428,1
0.5,0.417,0.418,0.998,-0.5,2207,30575,28368,-0.428,1220,29840,28620,-0.428,1
1,0.832,0.836,0.995,-1,2196,30424,28227,-0.428,1214,29693,28479,-0.428,1
2,1.655,1.672,0.99,-2,2175,30126,27951,-0.428,1202,29401,28200,-0.428,1
5,4.079,4.18,0.976,-4.8,2113,29265,27152,-0.428,1168,28561,27394,-0.428,1
10,7.967,8.36,0.953,-9.1,2017,27935,25918,-0.428,1115,27263,26149,-0.428,1
20,15.241,16.719,0.912,-16.7,1849,25607,23758,-0.428,1022,24991,23970,-0.428,1
30,21.932,25.079,0.875,-23.1,1706,23637,21931,-0.428,943,23069,22126,-0.428,1
50,33.895,41.798,0.811,-33.3,1479,20485,19006,-0.428,817,19993,19176,-0.428,1
