omega,theta,max_wedge_usd,max_wedge_where,eta_med,rent_fit,converged
0.08,2,1199,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.585,0.662,1
0.08,3.5,1726,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.409,0.662,1
0.08,5,2091,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.289,0.662,1
0.12,2,1866,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.561,0.662,1
0.12,3.5,2751,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.359,0.662,1
0.12,5,3391,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.214,0.662,1
0.16,2,2613,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.533,0.662,1
0.16,3.5,3964,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.298,0.662,1
0.16,5,4993,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island,-0.121,0.662,1
