metro,n_pumas,max_dev_baseline,max_dev_shock,rho_jacobian,contraction_margin,all_converged,q
Boston_abil6,38,4.49562827532838e-15,3.37213421695538e-15,0.539814764222848,0.460185235777152,1,1.24
Seattle_abil6,32,4.31065060297423e-15,2.78712966633589e-15,0.554940415507051,0.445059584492949,1,1.26
Washington_DC_abil6,47,3.18757787623677e-15,5.13611767879389e-15,0.540711803469139,0.459288196530861,1,1.17
Bay_Area_abil6,54,6.21195816074731e-15,4.73602027373055e-15,0.546430612800457,0.453569387199543,1,1.09
Los_Angeles_abil6,91,3.6907115351743e-15,4.30648508929236e-15,0.540466037282742,0.459533962717258,1,0.98
New_York_abil6,147,4.89130651402661e-15,4.6789873163294e-15,0.539967446278277,0.460032553721723,1,1.16
