s_pct,dW_bn,naive_price_bn,ratio_dW_naive,dr_med_pct,marg_wedge_top,marg_dWdH_top,marg_price_top,eta_top,marg_wedge_core,marg_dWdH_core,marg_price_core,eta_core,converged
0,0,0,1,0,1949,27804,25855,-0.45,1330,20983,19653,-0.436,1
0.5,0.227,0.228,0.998,-0.5,1939,27666,25726,-0.45,1323,20878,19555,-0.436,1
1,0.453,0.455,0.995,-1,1930,27529,25599,-0.45,1317,20775,19458,-0.436,1
2,0.902,0.911,0.99,-2,1911,27259,25348,-0.45,1304,20571,19267,-0.436,1
5,2.222,2.277,0.976,-4.8,1856,26480,24624,-0.45,1266,19983,18717,-0.436,1
10,4.341,4.554,0.953,-9.1,1772,25276,23504,-0.45,1209,19075,17866,-0.436,1
20,8.304,9.109,0.912,-16.7,1624,23170,21546,-0.45,1108,17485,16377,-0.436,1
30,11.949,13.663,0.875,-23.1,1499,21388,19888,-0.45,1023,16140,15118,-0.436,1
50,18.466,22.772,0.811,-33.3,1299,18536,17237,-0.45,886,13988,13102,-0.436,1
