s_pct,dW_bn,naive_price_bn,ratio_dW_naive,dr_med_pct,marg_wedge_top,marg_dWdH_top,marg_price_top,eta_top,marg_wedge_core,marg_dWdH_core,marg_price_core,eta_core,converged
0,0,0,1,0,1975,23159,21184,-0.425,1625,20030,18405,-0.423,1
0.5,0.993,0.996,0.998,-0.5,1966,23044,21078,-0.425,1617,19930,18313,-0.423,1
1,1.981,1.991,0.995,-1,1956,22930,20974,-0.425,1609,19832,18223,-0.423,1
2,3.943,3.982,0.99,-2,1937,22705,20768,-0.425,1593,19637,18044,-0.423,1
5,9.715,9.956,0.976,-4.8,1881,22056,20175,-0.425,1548,19076,17528,-0.423,1
10,18.978,19.912,0.953,-9.1,1796,21054,19258,-0.425,1477,18209,16732,-0.423,1
20,36.304,39.824,0.912,-16.7,1646,19299,17653,-0.425,1354,16692,15337,-0.423,1
30,52.242,59.736,0.875,-23.1,1520,17815,16295,-0.425,1250,15408,14158,-0.423,1
50,80.736,99.56,0.811,-33.3,1317,15439,14122,-0.425,1083,13353,12270,-0.423,1
