gid,name,wedge_s0,wedge_s0.5,wedge_s1,wedge_s2,wedge_s5,wedge_s10,wedge_s20,wedge_s30,wedge_s50,price_s50
603703,"Los Angeles County (North Central)--Lancaster City",-1251.30891338039,-1245.08349624946,-1238.91971634233,-1226.77344397988,-1191.72277457289,-1137.55355786314,-1042.75742819929,-962.545317913664,-834.205942574979,8052.34943217833
603704,"Los Angeles County (North Central)--Palmdale City",-1677.81413626296,-1669.46680224358,-1661.20211539504,-1644.91581902583,-1597.91822477843,-1525.2855788361,-1398.17844747475,-1290.62625861341,-1118.54275800112,10666.6462649633
603728,"Los Angeles County (Southwest)--Santa Monica City",857.041798995153,852.777909358832,848.556236903787,840.237058514816,816.230285396803,779.128908638753,714.20149941365,659.262922138982,571.361199329414,11506.123619815
603730,"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",530.46028623002,527.821179834576,525.208203760441,520.059103974912,505.200272186143,482.236623386943,442.050238037136,408.046373554567,353.640190638143,12098.3198319061
603731,"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",742.103901877152,738.411842482648,734.756338215266,727.552844999722,706.765621167942,674.639910958835,618.419917892363,570.849154702177,494.735934312883,10326.9008387679
603736,"Los Angeles County (Central)--Alhambra & South Pasadena Cities",484.294206552786,481.884782565878,479.499213474668,474.7982424451,461.232578092029,440.267459938837,403.578505492747,372.53400462613,322.862803916958,13498.0688084256
603744,"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights)",-79.232573474419,-78.8383818620568,-78.4480925455755,-77.6789934537464,-75.4595935670441,-72.0296123061071,-66.0271448106341,-60.9481333403182,-52.8217157325453,11178.4719424135
603745,"Los Angeles County (Central)--LA City (Southeast/East Vernon)",-1283.67949621401,-1277.29303087782,-1270.96979788776,-1258.50930912762,-1222.55190011691,-1166.98135930664,-1069.73291337979,-987.445766574037,-855.786331185098,11590.1676766707
603748,"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",957.045456988533,952.284036899175,947.569759532151,938.279860254661,911.471864035317,870.041324700094,797.537880778091,736.188812987057,638.030304673672,13692.2996229275
603760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",1244.05291465484,1237.86359568609,1231.73555864517,1219.65972010196,1184.81229957515,1130.95719406166,1036.71076140588,956.963779878874,829.368609005613,13540.3115933865
603761,"Los Angeles County (South Central)--Torrance City",815.391496603508,811.334822244291,807.318313166099,799.403428735739,776.563330054101,741.264996935304,679.492913904625,627.224228042905,543.59433090811,14820.0863365347
603768,"Los Angeles County (Southwest)--Palos Verdes Peninsula",485.713661173693,483.297175260701,480.904613896542,476.189864112581,462.584439626113,441.557873699687,404.761383641538,373.625892771612,323.809107073688,11613.2914925559
603770,"Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms)",690.932215718713,687.494741216928,684.091301842884,677.384525738791,658.03068180749,628.120195647414,575.776845573035,531.486318725398,460.621476233449,12232.4976657826
603776,"Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles)",526.894238011289,524.272872951806,521.677463033073,516.562978356367,501.804035849964,478.994760836595,439.078530766417,405.303259584871,351.262824980749,12431.8457830015
603779,"Los Angeles County (Southeast)--Long Beach City (East)",610.768947144916,607.730295572481,604.721730090274,598.793086213213,581.684711790058,555.244498044776,508.974122681277,469.822267413017,407.17929739276,12761.096198202
605918,"Orange County (Central)--Costa Mesa & Fountain Valley Cities",596.182619981784,593.216537139815,590.279821961005,584.492765235551,567.792971687562,541.984200189541,496.818850193817,458.602015375629,397.455079590834,14646.4177503503
605921,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado",703.200337407361,699.701827627428,696.237957479818,689.412095254025,669.714607497648,639.273033716734,586.000280688535,540.923335665615,468.800224354036,17681.7229402406
605922,"Orange County (Central)--Irvine (Northwest) & Tustin Cities",946.448657260076,941.739957844176,937.077877801701,927.890840815657,901.379674316744,860.407870138039,788.707213978265,728.037428128537,630.965771116855,15146.3296566051
605923,"Orange County (Central)--Irvine City (Central)",1674.87218384088,1666.53948629821,1658.28929120934,1642.03155380536,1595.11636594035,1522.61107644201,1395.72682013357,1288.36321848681,1116.58145614178,17736.9518994263
605924,"Orange County (Central)--Irvine City (South)",1023.09673414135,1018.00670000306,1012.96706423629,1003.03601429634,974.377842046662,930.087940354068,852.58061201419,786.997488399047,682.06448948606,17438.0665752527
605925,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Woods Cities",803.186808193288,799.190853768312,795.234463205896,787.438047328878,764.939817304541,730.169825544368,669.32233993447,617.836005982081,535.457871791268,10077.0070214573
605926,"Orange County (South Central)--Mission Viejo and Laguna Hills Cities",912.233762277327,907.695285307185,903.201743799527,894.346825314267,868.794060053799,829.303420424065,760.194801546691,701.718278101162,608.155840841089,14447.4974079862
605927,"Orange County (Southeast)--Rancho Santa Margarita City & Ladera Ranch",1194.91148482376,1188.96664955006,1183.08067680691,1171.48184777442,1138.01093771986,1086.28316641841,995.759569481652,919.162679572109,796.607655002565,15983.3385807231
605928,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities",479.312958927014,476.928317390277,474.567285692472,469.914665513385,456.488532423804,435.739053340518,399.427465524695,368.702275896781,319.541972449782,11206.5806953875
