gid,name,wedge_s0,wedge_s0.5,wedge_s1,wedge_s2,wedge_s5,wedge_s10,wedge_s20,wedge_s30,wedge_s50,price_s50
5323301,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities",781.328621916586,777.441414990681,773.592694926741,766.008452968686,744.122497454809,710.29874720993,651.107185072946,601.02201692072,520.885748475748,13765.4319348033
5323302,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill",-537.887411099908,-535.211354054689,-532.561793103709,-527.340599558891,-512.273724247969,-488.988555684988,-448.239508978681,-413.7595471205,-358.591607418244,10053.8486326278
5323303,"King County (Northwest)--Redmond, Kirkland Cities, Ingelwood & Finn Hill",1522.82309971185,1515.24686568086,1507.74564332773,1492.9638233776,1450.30771433295,1384.38463631815,1269.01924995648,1171.40238452316,1015.21539995455,15325.0657076147
5323304,"King County (Northwest Central)--Greater Bellevue City",1949.14143035619,1939.4442096988,1929.84300041061,1910.92297108432,1856.32517223198,1771.94675500302,1624.28452550968,1499.33956217068,1299.42762054975,17236.5818249093
5323305,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities",1244.0018405131,1237.81277696323,1231.68499056634,1219.60964730236,1184.76365792214,1130.91076438306,1036.66820047238,956.92449272118,829.334560148214,15207.8682628092
5323306,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities",-1177.74012843445,-1171.88072440789,-1166.07933518583,-1154.64718450882,-1121.65726449843,-1070.67284386985,-981.450107076942,-905.953945055318,-785.160085408128,8795.6158350264
5323307,"King County (Southwest)--Auburn City & Lakeland",-703.33370463183,-699.834531828268,-696.370004510934,-689.542847660452,-669.841622655189,-639.394276695735,-586.111420303696,-541.025926745928,-468.889136055266,10508.7765759962
5323308,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island",-666.503213939426,-663.187276937306,-659.904172215554,-653.43452356407,-634.764964803309,-605.912012414921,-555.419344533846,-512.69477989472,-444.33547573246,9315.93639050321
5323309,"King County (Southwest Central)--Kent City",-650.844288422035,-647.606256989971,-644.400285570366,-638.08263572153,-619.851702857663,-591.676626083912,-542.370240284452,-500.649452625177,-433.896192173723,10224.4674856999
5323310,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway",172.463769243048,171.605740970888,170.75620748744,169.082126867677,164.251209416623,156.785244976509,143.719807957785,132.664437940599,114.975846445115,12206.7270285221
