s_pct,dW_bn,naive_price_bn,ratio_dW_naive,dr_med_pct,marg_wedge_top,marg_dWdH_top,marg_price_top,eta_top,marg_wedge_core,marg_dWdH_core,marg_price_core,eta_core,converged
0,0,0,1,0,1675,28280,26605,-0.423,-79,16688,16768,-0.423,1
0.5,0.525,0.526,0.998,-0.5,1667,28140,26473,-0.423,-79,16605,16684,-0.423,1
1,1.047,1.053,0.995,-1,1658,28000,26342,-0.423,-78,16523,16602,-0.423,1
2,2.084,2.105,0.99,-2,1642,27726,26084,-0.423,-78,16361,16439,-0.423,1
5,5.136,5.263,0.976,-4.8,1595,26934,25339,-0.423,-75,15894,15969,-0.423,1
10,10.032,10.526,0.953,-9.1,1523,25709,24187,-0.423,-72,15171,15243,-0.423,1
20,19.191,21.052,0.912,-16.7,1396,23567,22171,-0.423,-66,13907,13973,-0.423,1
30,27.617,31.578,0.875,-23.1,1288,21754,20466,-0.423,-61,12837,12898,-0.423,1
50,42.68,52.63,0.811,-33.3,1117,18854,17737,-0.423,-53,11126,11178,-0.423,1
