s_pct,dW_bn,naive_price_bn,ratio_dW_naive,dr_med_pct,marg_wedge_top,marg_dWdH_top,marg_price_top,eta_top,marg_wedge_core,marg_dWdH_core,marg_price_core,eta_core,converged
0,0,0,1,0,1091,21718,20627,-0.43,757,18230,17472,-0.435,1
0.5,0.272,0.273,0.998,-0.5,1086,21610,20524,-0.43,754,18139,17385,-0.435,1
1,0.543,0.546,0.995,-1,1080,21503,20423,-0.43,750,18049,17299,-0.435,1
2,1.082,1.092,0.99,-2,1070,21292,20222,-0.43,743,17872,17130,-0.435,1
5,2.665,2.731,0.976,-4.8,1039,20684,19645,-0.43,721,17362,16640,-0.435,1
10,5.205,5.461,0.953,-9.1,992,19743,18752,-0.43,689,16572,15884,-0.435,1
20,9.957,10.923,0.912,-16.7,909,18098,17189,-0.43,631,15191,14560,-0.435,1
30,14.329,16.384,0.875,-23.1,839,16706,15867,-0.43,583,14023,13440,-0.435,1
50,22.144,27.307,0.811,-33.3,727,14479,13751,-0.43,505,12153,11648,-0.435,1
