48389.61,54719.06,112110.11
49213.15,55650.32,114018.13
50579.85,57195.79,117184.53
46148.78,52185.13,106918.52
45440.41,51384.10,105277.36
60870.54,68832.52,141026.23
45779.26,62723.50,108264.20
46797.41,64118.50,110672.04
37881.35,51538.22,101513.92
39721.54,54041.82,106445.22
45307.71,61641.90,121414.98
46393.58,63119.25,124324.88
35220.13,47917.58,94382.41
38197.62,51968.50,102361.45
42187.97,57397.44,113054.75
47892.09,65157.99,128340.56
47386.20,51993.22,91409.60
53897.73,59137.82,103970.58
49871.98,54720.67,96204.76
49489.69,54301.21,95467.31
47419.82,52030.11,91474.46
43935.53,48207.07,84753.15
48472.75,53185.41,93505.60
49749.15,55451.31,96688.95
45240.51,53047.62,96223.05
49681.51,64181.22,137700.16
44353.23,57297.87,122932.00
49822.76,67859.65,132025.16
55297.12,75315.85,146531.66
49851.51,67898.81,132101.34
43400.31,59112.14,115006.35
40756.66,55511.43,108000.93
43285.76,58956.12,114702.79
35930.40,48937.96,95211.84
45661.98,58452.69,100680.07
46735.66,65196.01,126402.03
47904.78,66826.92,129564.05
43020.57,60013.47,116354.13
52711.66,68443.80,114948.64
39383.09,51137.23,85882.94
44607.54,57920.94,97275.92
42967.05,64216.04,93992.23
39812.54,53537.01,94228.06
43325.47,56746.55,121025.30
39472.61,45017.31,118049.34
36384.25,60778.29,176199.49
42356.72,64645.28,90180.15
