0.10449,0.02470,0.11186,0.09190,0.01571,0.00212,0.00520,0.00406,0.00942,0.00945,0.02252,0.04297,0.01953,0.05122,0.15850,0.03495,0.06692,0.04534,0.00435,0.00276,0.00355,0.00051,0.00275,0.00143,0.00171,0.00181,0.00606,0.00819,0.02828,0.04861,0.02465,0.04450
0.03150,0.12450,0.22962,0.14796,0.05793,0.00593,0.00938,0.00589,0.01516,0.01384,0.02886,0.03104,0.01472,0.02580,0.09145,0.01219,0.02048,0.01163,0.00702,0.00387,0.00764,0.00159,0.00499,0.00226,0.00272,0.00306,0.00432,0.00968,0.02289,0.01454,0.01294,0.02463
0.02450,0.02346,0.33509,0.19495,0.03055,0.00227,0.00484,0.00294,0.00900,0.01344,0.02585,0.02973,0.02667,0.02684,0.10770,0.01443,0.02557,0.01118,0.00358,0.00179,0.00393,0.00059,0.00239,0.00062,0.00116,0.00193,0.00288,0.00430,0.01755,0.01661,0.01337,0.02029
0.01294,0.01325,0.19935,0.29074,0.04434,0.00347,0.00776,0.00423,0.01517,0.02306,0.03918,0.03693,0.03354,0.03506,0.12998,0.01108,0.02610,0.00745,0.00621,0.00200,0.00408,0.00050,0.00291,0.00091,0.00163,0.00220,0.00220,0.00276,0.00843,0.00832,0.01080,0.01339
0.01370,0.02051,0.18220,0.17715,0.12483,0.00603,0.00973,0.00472,0.01829,0.02680,0.04709,0.04049,0.03462,0.04057,0.14292,0.01200,0.02595,0.00943,0.00581,0.00203,0.00483,0.00050,0.00331,0.00109,0.00175,0.00224,0.00233,0.00250,0.00973,0.00649,0.00697,0.01338
0.00877,0.01825,0.04213,0.07201,0.05397,0.11171,0.06974,0.02289,0.09741,0.05961,0.09646,0.04586,0.01187,0.02503,0.07056,0.00926,0.01120,0.00772,0.02559,0.00857,0.03071,0.00952,0.01845,0.00534,0.00623,0.00441,0.00489,0.00344,0.00601,0.00854,0.00771,0.02616
0.00616,0.00915,0.02338,0.04453,0.01916,0.02797,0.17574,0.06034,0.10886,0.04596,0.11541,0.04756,0.01157,0.01918,0.05844,0.00674,0.00814,0.00610,0.03926,0.01630,0.05238,0.00555,0.02439,0.00917,0.00985,0.00521,0.00440,0.00222,0.00440,0.00515,0.00642,0.02090
0.00540,0.00532,0.02194,0.03966,0.01296,0.01051,0.06562,0.14554,0.07651,0.03439,0.15573,0.06136,0.01429,0.03165,0.08851,0.01057,0.01407,0.00762,0.04750,0.01777,0.03625,0.00316,0.01954,0.00965,0.01516,0.00801,0.00299,0.00244,0.00487,0.00696,0.00701,0.01705
0.00681,0.00858,0.03114,0.06470,0.02548,0.02066,0.06553,0.03337,0.16892,0.06832,0.16052,0.06071,0.01707,0.03404,0.07630,0.01063,0.01385,0.00770,0.02053,0.00875,0.02915,0.00177,0.01028,0.00435,0.00549,0.00306,0.00339,0.00230,0.00473,0.00650,0.00663,0.01876
0.00837,0.01211,0.06414,0.12691,0.04759,0.01242,0.03067,0.01291,0.06185,0.09830,0.13838,0.06261,0.02637,0.05108,0.11871,0.01164,0.01814,0.00959,0.00995,0.00504,0.01099,0.00084,0.00591,0.00205,0.00354,0.00278,0.00377,0.00272,0.00618,0.00722,0.00692,0.02030
0.00824,0.00658,0.02606,0.06185,0.01926,0.00600,0.02875,0.02276,0.05952,0.03546,0.24376,0.11094,0.02506,0.06145,0.14588,0.02213,0.02239,0.01159,0.01136,0.00775,0.01188,0.00088,0.00546,0.00328,0.00350,0.00216,0.00347,0.00202,0.00510,0.00680,0.00660,0.01205
0.00987,0.00602,0.04100,0.06893,0.01918,0.00313,0.01127,0.00987,0.02803,0.02145,0.09649,0.15940,0.03641,0.08789,0.26276,0.02909,0.04189,0.01164,0.00798,0.00319,0.00602,0.00046,0.00209,0.00104,0.00118,0.00197,0.00225,0.00148,0.00449,0.00710,0.00493,0.01151
0.01103,0.00581,0.04621,0.08217,0.02363,0.00282,0.01019,0.00826,0.02712,0.02746,0.08146,0.08917,0.07675,0.12851,0.22729,0.02686,0.05607,0.01465,0.00691,0.00431,0.00518,0.00039,0.00195,0.00128,0.00141,0.00230,0.00236,0.00130,0.00421,0.00687,0.00579,0.01027
0.01112,0.00597,0.08412,0.08533,0.01471,0.00187,0.00605,0.00449,0.01128,0.01034,0.03327,0.05747,0.06022,0.15439,0.29174,0.02984,0.07875,0.01483,0.00621,0.00242,0.00318,0.00033,0.00164,0.00086,0.00131,0.00156,0.00193,0.00096,0.00435,0.00734,0.00410,0.00804
0.01064,0.00516,0.06978,0.07884,0.01179,0.00132,0.00469,0.00386,0.00804,0.01057,0.03091,0.05450,0.13545,0.07172,0.35625,0.03472,0.05252,0.01520,0.00512,0.00156,0.00256,0.00026,0.00164,0.00075,0.00113,0.00160,0.00198,0.00119,0.00445,0.00784,0.00520,0.00878
0.02129,0.00684,0.05522,0.06541,0.01124,0.00154,0.00592,0.00362,0.00878,0.00908,0.02887,0.05648,0.04578,0.07670,0.30327,0.10833,0.09356,0.02689,0.00489,0.00177,0.00299,0.00034,0.00160,0.00076,0.00112,0.00166,0.00312,0.00187,0.00783,0.01782,0.00849,0.01691
0.02159,0.00685,0.06995,0.08264,0.01253,0.00142,0.00491,0.00393,0.00952,0.00858,0.02638,0.04879,0.04133,0.08200,0.24961,0.04519,0.17272,0.02944,0.00534,0.00208,0.00313,0.00043,0.00205,0.00107,0.00180,0.00189,0.00331,0.00256,0.00913,0.01794,0.01002,0.02186
0.04005,0.00954,0.05836,0.07371,0.01137,0.00152,0.00498,0.00361,0.00857,0.00902,0.02598,0.05564,0.03195,0.08011,0.24073,0.05496,0.12096,0.07451,0.00534,0.00216,0.00299,0.00045,0.00163,0.00115,0.00142,0.00148,0.00328,0.00239,0.01197,0.03001,0.00966,0.02052
0.00395,0.00485,0.01314,0.02363,0.00730,0.00499,0.04263,0.04872,0.04090,0.01247,0.06343,0.02554,0.00573,0.01179,0.04930,0.00564,0.00876,0.00532,0.30859,0.05227,0.06702,0.00613,0.03513,0.03147,0.06132,0.02826,0.00274,0.00119,0.00294,0.00510,0.00568,0.01408
0.00412,0.00385,0.01161,0.02211,0.00684,0.00562,0.05589,0.03344,0.04399,0.01058,0.05634,0.02301,0.00591,0.01114,0.04660,0.00499,0.00879,0.00517,0.20568,0.09886,0.09653,0.00570,0.04909,0.04803,0.08004,0.02425,0.00248,0.00172,0.00303,0.00509,0.00607,0.01341
0.00472,0.00549,0.01474,0.02541,0.01217,0.02364,0.10451,0.04680,0.06768,0.03300,0.08377,0.04000,0.00644,0.01118,0.04629,0.00503,0.00581,0.00450,0.08278,0.02814,0.15926,0.02074,0.06724,0.02294,0.02562,0.01099,0.00315,0.00259,0.00404,0.00462,0.00549,0.02124
0.00475,0.00623,0.01412,0.02501,0.01022,0.03288,0.07052,0.02501,0.05786,0.02208,0.05115,0.02882,0.00602,0.00956,0.04111,0.00570,0.00586,0.00415,0.09596,0.03317,0.10725,0.08702,0.09005,0.07205,0.03799,0.01620,0.00333,0.00228,0.00365,0.00584,0.00589,0.01827
0.00495,0.00491,0.01285,0.02315,0.00900,0.01118,0.06343,0.03075,0.05457,0.01887,0.05048,0.02581,0.00589,0.00975,0.04108,0.00460,0.00625,0.00478,0.12147,0.03881,0.11010,0.01945,0.16851,0.05825,0.04607,0.01626,0.00295,0.00278,0.00371,0.00531,0.00557,0.01844
0.00416,0.00504,0.01339,0.02512,0.00746,0.00810,0.04533,0.02721,0.04049,0.01534,0.04550,0.02440,0.00642,0.00862,0.03611,0.00551,0.00512,0.00493,0.14804,0.06401,0.09620,0.01804,0.07673,0.11394,0.08871,0.02553,0.00342,0.00300,0.00364,0.00515,0.00653,0.01881
0.00339,0.00403,0.01412,0.02379,0.00745,0.00476,0.03074,0.02149,0.02763,0.01067,0.03735,0.01928,0.00555,0.00891,0.03953,0.00473,0.00852,0.00521,0.20842,0.07576,0.07077,0.00600,0.04295,0.04547,0.19441,0.04275,0.00305,0.00185,0.00378,0.00742,0.00583,0.01437
0.00589,0.00618,0.02139,0.03141,0.01320,0.00673,0.02600,0.02278,0.02479,0.01378,0.05583,0.02548,0.00691,0.01386,0.06215,0.00775,0.01133,0.00508,0.16098,0.03813,0.04757,0.00475,0.02717,0.02406,0.06892,0.22899,0.00428,0.00241,0.00431,0.00468,0.00812,0.01510
