125.2,147.2,118.0,110.0,118.6,114.2,87.7,116.0,93.6,99.9,103.0,112.8,110.0,115.8,114.8,123.0,118.9,119.7,95.3,89.1,77.9,26.1,74.6,80.4,90.1,135.4,150.0,172.1,128.7,127.9,132.2,138.0
56.1,78.2,49.0,41.0,49.5,60.2,18.7,47.0,24.5,30.9,33.9,43.7,41.0,46.8,45.7,53.9,49.8,50.6,23.2,18.0,12.4,74.6,5.2,14.7,19.0,64.3,80.9,103.0,59.6,58.8,63.2,69.0
62.7,87.5,58.3,50.3,58.9,69.5,28.0,53.6,33.8,40.2,40.6,50.3,47.6,53.3,52.3,60.5,56.4,57.2,21.2,14.5,21.8,80.4,14.7,4.6,15.6,60.9,89.7,112.3,68.9,65.4,72.5,77.8
56.6,83.1,53.9,45.9,54.5,67.2,24.8,47.4,30.4,35.8,34.5,44.2,41.4,47.2,46.2,54.3,50.3,51.1,15.3,8.3,22.0,89.7,18.2,15.0,4.0,51.9,83.6,108.0,64.6,59.2,66.5,71.6
93.3,119.9,90.7,82.7,91.2,103.9,61.6,84.2,67.2,72.6,71.2,80.9,78.2,83.9,82.9,91.1,87.0,87.8,52.0,48.8,63.4,135.3,63.9,60.6,51.3,11.9,120.3,144.7,101.3,96.0,103.3,108.4
34.4,94.5,40.9,44.1,56.3,104.1,68.6,58.9,60.1,51.9,54.8,51.6,50.0,44.7,42.6,47.7,42.0,36.0,77.3,77.5,75.9,150.3,81.4,89.3,83.4,120.3,23.9,67.2,31.9,28.9,26.1,18.8
62.6,116.7,63.5,66.7,76.5,126.6,91.1,89.8,82.6,74.5,80.1,82.4,80.9,73.1,73.5,81.6,72.3,70.1,102.7,103.0,98.5,172.9,104.0,113.2,108.8,145.8,67.1,23.2,55.1,65.9,67.3,60.3
18.7,73.3,19.7,22.9,35.0,82.8,47.3,46.0,38.8,30.7,36.3,38.6,37.1,29.2,29.7,35.2,28.5,23.5,58.9,59.1,54.7,129.1,60.2,69.4,65.0,102.0,32.1,55.0,6.1,16.4,18.1,20.2
10.1,74.8,21.2,24.4,36.5,84.3,46.3,34.6,37.8,32.2,30.5,27.2,25.7,20.4,18.3,23.3,17.6,11.7,52.9,53.2,53.7,128.1,59.2,64.9,59.0,96.0,29.0,65.0,16.1,3.9,9.5,16.3
17.1,76.5,22.9,26.1,38.2,86.0,50.5,41.6,42.0,33.9,37.4,34.2,32.6,27.3,25.2,30.3,24.6,18.6,59.9,60.1,57.9,132.3,63.4,71.9,66.0,103.0,26.5,66.7,18.1,9.3,3.8,12.5
23.0,83.1,29.5,32.7,44.9,92.7,57.1,47.5,48.7,40.5,43.4,40.1,38.6,33.3,31.2,36.3,30.6,24.6,65.8,66.1,64.5,138.9,70.0,77.9,71.9,108.9,19.0,60.0,20.9,16.2,12.4,4.4
