gid,kids_hh
5323301,0.5091
5323302,0.6969
5323303,0.5013
5323304,0.4806
5323305,0.6873
5323306,0.6925
5323307,0.698
5323308,0.5888
5323309,0.7196
5323310,0.5528
5323311,0.5602
5323312,0.3844
5323313,0.4991
5323314,0.1756
5323315,0.0981
5323316,0.35
5323317,0.3365
5323318,0.352
5325301,0.3871
5325302,0.6077
5325303,0.6446
5325304,0.7593
5325305,0.7464
5325306,0.7084
5325307,0.514
5325308,0.6327
5326101,0.6152
5326102,0.6812
5326103,0.7457
5326104,0.467
5326105,0.5495
5326106,0.5399
