46353.40,55713.18,115036.13
44446.96,53421.78,110304.87
46744.83,56183.64,116007.54
46433.27,55809.17,115234.34
48157.82,57881.95,119514.19
46287.76,55634.28,114873.21
51986.87,62484.17,129016.83
45546.26,54743.05,113033.02
42616.01,51221.12,105760.96
46879.71,56345.76,116342.28
53865.85,64742.55,133679.91
46470.48,55853.90,115326.69
49198.23,59132.44,122096.20
40222.34,53033.06,98513.75
50193.12,66179.52,122934.49
44831.08,59109.68,109801.62
42921.02,56591.26,105123.43
44865.07,59154.49,109884.86
45087.67,59447.99,110430.07
39851.31,52978.79,111984.78
47803.45,63550.45,134330.81
46528.86,61856.00,130749.13
46211.48,61434.06,129857.26
38269.17,50875.47,107538.87
36046.35,47920.43,101292.59
51171.82,63480.94,123394.98
46009.43,57076.76,110946.46
51623.21,64040.90,124483.45
47800.46,59298.62,115265.34
53467.61,66328.96,128931.00
47326.70,58710.89,114122.91
49831.92,56293.11,113552.55
48771.43,55095.12,111136.00
51940.10,58674.64,118356.48
48300.27,54562.87,110062.36
45907.90,51662.27,86939.23
47382.64,76391.79,117789.82
62492.26,72187.60,114117.34
